,LINK
Start,2020-02-01 12:00:00
End,2024-01-31 23:00:00
Duration,4Y 11H
Exposure Time,0.2612193660665887
Downside Exposure Time,0.03407601572739188
Returns,1.1141285211162968
Total Returns,1.363346494711406
Buy & Hold Returns,4.610749481799338
Number Of Trades,646
Win Rate,0.35294117647058826
Best Return,0.48948181698831555
Worst Return,-0.11589698890649758
Avg Return,0.0021104434902653344
Avg Positive Return,0.0393609366472313
Avg Negative Return,-0.018208007322625196
Volatility,0.04589252815558903
Returns Annual,0.20582100899843647
Volatility Annual,0.8767755193244785
Max Drawdown,-2.7222418621358777
Avg Drawdown,-0.45572896619223
Profit Factor,1.1791296777930593
Win Loss Ratio,0.5454545454545454
Sharpe Ratio,0.20053138474247062
SQN,1.1688209944836294
Avg Consecutive Wins,1.5066666666666666
Avg Consecutive Losses,2.7866666666666666
Max Consecutive Wins,5
Max Consecutive Losses,10
